id_user_anon,country,words_in_user_profile
1d16a001-31a2-494c-a101-1f7b308adc62,FR,0
42607e0a-86c0-472e-b633-9e192114e93c,AR,0
25f85eb5-a700-44e1-b142-4c076222198d,BR,0
55abeba0-18ef-4c58-80f4-3c278b706aca,BR,1
5d62d35a-7d6d-45dd-ae9b-a5d2f82a7d7b,BR,98
e4921c7b-ce9d-4693-9818-1a6eddc66081,BR,1
564dc420-594f-4429-a9b6-4f6110e2d61b,BR,102
2a4ab57d-d111-482b-8641-e64a08415261,BR,22
8d8c74df-879d-4f77-9016-806b0a131329,US,17
0ee449ad-7e11-461d-bebc-cc71aef36975,BR,0
518db3ad-f394-4f3a-aee0-0a336a272a21,AR,0
2825cf34-46c4-4950-b022-5333c8790f2b,BR,50
4e3d2d38-931f-4c2f-9cd5-dd07725c9b9d,BR,0
748d0a17-7161-4087-a44e-fb2e76257e9d,BR,10
524534fa-1dde-46ce-99ab-f72f4790fbf9,BR,1
230d4349-8fd8-47a7-b902-bae9337eb44b,BR,0
95288455-3098-4928-8ed1-df70d60373bc,BR,161
c686e3f3-7e78-4a1b-a753-065e197ffbe7,US,0
09bf7947-3ae2-4617-87ad-e725d6663a83,BR,0
8935b314-32e7-4629-bfcb-6e8534e861d5,CA,74
d55a818e-91be-4829-ae14-b70f7d503d15,BR,0
cc7f4bc3-a5ac-4e48-9885-d3d251384088,BR,39
f15289d2-7c21-4a84-aaa2-cc6d992d1e3f,BR,0
86132d4f-6b8b-4123-8e6a-a55a67f32a7e,BR,0
3fbd1cb2-fb39-4a06-bc56-69062e7bb96a,AR,0
77b033fc-3293-43cd-a9a2-8ea57af57d70,US,1
f3e5c561-0c8b-48cb-a240-6dcc3c83c230,FR,11
101fa379-b4ae-440c-9837-e9b25fa28981,BR,0
753695f1-0025-4b69-9cbc-10d89dd9204b,BR,0
3aa0bd34-07f2-4106-a9af-342a484748cb,US,1
3b3bb47b-4362-4e13-8b8d-754421cb6a9c,FR,29
5d5d588e-81d8-41af-9072-907f774f265d,BR,0
91a218c6-057c-4baa-ad73-e417d36d9127,FR,0
33c94a10-c1c1-4e11-8968-78fdcba1495f,US,0
2cdc0704-53f2-44c5-8c21-10e0e2572290,BR,0
38c4a93c-b358-48f4-bc5a-4e8c6d5a98ae,BR,50
1f1df2b7-418c-4a86-8b90-9da34191a710,BR,0
dc31bcfa-df78-43db-a21d-b8a37918ca22,BR,0
9fe24884-a5a2-4a93-be20-d78c9e7d6f06,BR,105
806aa951-6d0b-4be6-8ff9-b168f2215512,BR,45
883f0a2c-411e-47aa-acc0-47f487674725,BR,0
1ae4f260-4ac6-4d7a-b0d7-bff5019139f9,BR,0
1c611967-77f6-4556-b920-c00c3e7a3792,BR,141
d64e2aef-d85f-4074-b457-484e8d842ff4,BR,0
24890381-4427-43bb-b357-281fe6751f6d,US,58
c0d82225-aff8-4b41-9139-c4205435fef2,BR,32
110872a6-2fbd-46e8-8f1e-3a342a639df8,BR,0
0d56ba0a-103c-48ea-bf26-4c12acc8f6aa,BR,12
2c95dc5a-cde0-41cd-891a-16c37cc6ac55,GB,0
2f643773-5ada-4fef-b49b-49b531c84b40,BR,0
533141b1-289a-4d1c-9c0d-e2882d308f1c,US,33
319737b1-5af3-4638-ae24-583112d4d69b,BR,40
b511fcbf-97e0-49ad-9193-4c9287adf6ae,BR,19
1f68734a-8629-426d-86a6-95884ab553d2,BR,0
ad1f4279-c3b0-4b79-bffd-5c8512ba83a9,BR,89
d11ac39a-5fb9-433b-860e-36fcaf70a294,AR,0
cc87910a-5327-40ac-9958-69b67b0501a1,BR,1
174b6f6c-c603-4885-a99d-48f9f833bc87,BR,1
2bf44018-be9c-48f3-bb77-ba93f5d45ff8,BR,0
728dc2e5-9f4c-4c7c-bd07-3377c737f314,BR,0
c3acff65-4a16-4333-88a2-9cb5692c1012,US,85
0ca2fc03-ef47-4430-a833-b63a91dc0a2a,BR,32
049cde9b-2c72-4cec-843b-7c80fc086ec4,FR,0
4e05db17-a5f2-4f7f-bd02-c71ab6d10b0a,BR,0
de005306-a448-48f3-9929-67d8593efd7b,BR,68
5b34b650-0306-42ad-b9a9-d681e50c03de,BR,36
3d1aaead-82a4-4fee-9cb3-4132001483be,BR,0
36f3a524-efdc-4796-966f-a6c0d0b45c3f,AR,28
cfc38598-f5a9-4934-9c72-ef5beacda47a,AE,1
1cb51587-5844-4806-927f-357e010249eb,AR,35
b9b5b8de-aabf-4b93-8f48-2a82c6a7c25f,AR,0
ce648953-3472-429f-a1fe-813378fbb1ad,BR,1
17282a3d-5728-4830-bc5d-6ebb758eea7d,DE,0
75318a9d-6248-4d00-9b0b-e6475ee4079b,BR,0
724b233a-d209-47f6-9580-381fdec44114,BR,1
c035d1fe-de16-4a4c-b9ac-1c94777e1249,BR,0
1d4d8cd4-a17c-48fc-ad69-3fa0ab0368a4,DE,1
9f517c6e-9059-4110-95dd-be3c91efee20,BR,0
0343ea11-9cce-4e95-a095-b7eae061fe20,BR,0
393cf3ee-0705-4b3d-ba1a-5955919c897e,BR,86
8b9fd731-1dd2-46d1-ba7a-f24dd561b8f4,DE,57
88125f94-757a-446d-afc1-6b740608232b,US,70
8003d0b6-c78a-4abb-8633-f3ed0694efa3,BR,0
269eed41-3acc-4720-89b4-b91fe0f0ff1e,BR,2
4dfe1232-ca27-4c25-857f-6d8cfdb316b9,AR,11
4cff3996-02ae-4216-b95d-ab83062b6c6d,BR,0
195c4a94-8813-48aa-b123-57e54faf0448,BR,0
d4e71bb2-02f0-4dab-bddf-cefb62acad76,BR,0
be61e678-3aa3-4421-960e-12db78259893,BE,1
7df9ffb0-8a9a-4e19-a439-98ba0ee68a27,BR,1
162f1384-a7fa-4f6d-aa1e-13abf9ddd2e2,BR,1
e0ce9ebd-6a6e-4dfb-8fea-d5f665157b14,US,1
a5ad8805-8d45-4690-80a6-c1833602fe49,BR,0
21cc75e3-8e0a-4047-9b0b-fb5e95bef435,AR,17
ee893720-4de6-47f3-b1da-2cdb53a1146a,FR,21
9deefe40-0d6a-4c01-a6c4-83c70efe2083,BR,0
c50eb0d2-a80b-450c-9587-f81b8848ba3c,AT,0
e87d9b74-8491-4eb7-aac6-e54bbc45878e,FR,60
af00f371-eaf8-4d00-9af5-9179beb256a8,BR,37
b08b2a42-7f9b-42d8-bd1f-73c5c4a32753,BR,42
3b68a371-02ea-41c9-8794-135ba6b3bb29,BR,1
99df1d28-c443-4459-bd4a-1b93db0914f6,AR,0
0f4b77f1-7d41-4b28-aa43-639597007192,BR,1
d73662a9-893e-4887-bb31-122981f00248,BR,31
58827b18-8766-4f00-be95-004449115316,BR,0
59a9def2-c35f-4cec-a2a7-d3ca133ea6c3,BR,1
23faab1d-d1b9-4658-aeb9-6c1d3322729f,BR,0
643f3ec4-8628-43f5-95cd-83f5029a179d,BR,92
8ee14969-e12e-4dba-b51d-62f62310ecd9,BR,98
b66de1b5-1e9e-4dee-8f7a-973e68973d49,FR,0
e0ec2e54-e429-4ddb-964f-e989b46e86c0,BR,1
acade315-0d31-4d54-98f4-fc2a60dc5a57,NO,11
cb6f7235-9ee2-4dca-b2fd-03100d41c47d,FR,0
e0c3c2ac-28e5-41b4-b6b2-12dc6947a63e,BR,46
deb438ab-1b60-40ce-8a24-e178d3e0cf7a,UY,0
04af9f02-ffce-4dc2-a966-4b7cfef70638,PY,0
74eb9a3e-09ed-41b3-9146-1a36042acdd9,FI,18
a659f4e4-9ca0-415b-a847-7920b712de74,BR,18
e4d61443-f122-405b-9902-d5b4d2cad20a,BR,0
7763ebe2-a996-4b02-823e-199cba604959,BR,0
76515248-6312-475a-865f-b307432ac7ad,BR,1
000053cd-ab28-4cb3-b17a-e31c2ad8e553,BR,18
c3fd30a0-67c4-41f4-9fc1-f140bab70673,FR,0
979b2daa-c57d-49a8-bdf9-d270d0121d2d,BR,1
1281d90e-7a9b-458a-bbcd-adb558fb5e4a,ZA,142
45dd6698-d08b-43fa-8086-4f7f1144f55b,CA,0
d7d7a0d2-00a2-4b6c-b8c9-7674a0d4f74e,AR,0
62e10c6b-7a54-4203-a17e-4a28dd845280,US,4
e51f3db6-061b-41ac-a9fc-3b2a1fed9ad2,BR,0
e671a0bd-55f5-4f10-a4af-d61e64c370db,BR,1
a477e2d9-851d-4f58-a7bc-04bc9dae170a,GB,105
0f7f4169-80c0-4603-99b1-e8a7dd4f852b,DE,7
f8370a55-8138-42f5-a2e8-4086dd55dfe3,US,34
9d6751ac-e491-4ac2-a2f2-1f11b6ce1049,DE,0
5a5ad427-d729-4432-8066-c66bb9c1c2e1,BR,0
5ff8615e-0a0c-428f-860e-461c7fc96d84,BR,0
2588d5e9-c322-4010-b0a6-02c071392aea,BR,1
8fb1fc4e-295f-4c5e-abe8-3a05ceecd16f,CH,48
15048970-826c-40e8-88c5-6cf91e1beb0b,BR,0
57edb531-7be0-4877-8657-e12b4064b6d3,BR,1
68747e38-1d4c-48e8-be8c-625cfe78b037,CL,0
d59ad32e-40d7-4781-9109-f150a8e14633,AR,0
fb8c337b-9e23-49fc-9cdf-ff7fefaa424f,BR,1
791a6cb7-a9f6-469a-a1fa-e9f4e6351f26,NL,0
b043de1c-a27e-4a91-b5c1-8dbec44933a5,BR,1
105010ee-9af9-436c-9ade-a89a54412890,CL,1
9894caa7-5923-451d-a612-49dd3b79410e,BR,0
409c5bd6-1087-453d-bf78-177e3e5b018a,BR,81
0243959c-cd1d-44ee-8a98-1635268f897e,BR,1
d4ef26c7-4bf7-4877-a111-a29be95e3255,DE,3
95a0449f-c3bb-49d3-9d7f-6173dfad3f45,AU,0
0d87621d-893b-4368-aaf8-13bc32756790,CO,0
264f6c27-dbb5-4477-b312-5c07d2236b9c,BR,32
139ce74b-5d71-41b2-b817-5cab91c5c3ba,BR,1
e007b96c-bcbd-4e98-b5ba-abfb09d83c92,BR,0
d22b8c09-2a97-4438-9147-8a6f9642edec,BR,202
0847cb60-f42c-4b1c-96ba-77b523f9454d,BR,0
dc8a2adb-597d-401d-a9ff-66d860d7f108,BR,1
bf852a9e-5c35-4bc6-a313-a94ba3d7c937,AU,0
