element_id,"device ( 1- desktop and tablet, 2 - mobile 3 - unknown)",date,imps,clicks,conv
71446,1,30/06/2016,1,0,0
71446,1,02/07/2016,2,0,0
71446,1,03/07/2016,3,0,0
71446,1,04/07/2016,4,0,0
71446,1,06/07/2016,2,0,0
71446,1,08/07/2016,1,0,0
71446,1,09/07/2016,2,0,0
71446,1,10/07/2016,6,0,0
71446,3,04/07/2016,1,0,0
71446,3,05/07/2016,2,0,0
71446,3,06/07/2016,1,0,0
78286,1,29/06/2016,4,0,0
78286,1,30/06/2016,10,0,0
78286,1,01/07/2016,16,0,0
78286,1,02/07/2016,7,0,0
78286,1,03/07/2016,8,0,0
78286,1,04/07/2016,5,0,0
78286,1,05/07/2016,26,0,0
78286,1,06/07/2016,11,1,0
78286,1,07/07/2016,7,0,0
78286,1,08/07/2016,12,0,0
78286,1,09/07/2016,2,0,0
78286,1,10/07/2016,16,0,0
78286,3,30/06/2016,1,0,0
78286,3,01/07/2016,7,0,0
78286,3,03/07/2016,2,0,0
78286,3,05/07/2016,3,0,0
78286,3,06/07/2016,4,0,0
78286,3,07/07/2016,1,0,0
78286,3,09/07/2016,5,0,0
84003,1,04/07/2016,1,0,0
84003,1,07/07/2016,1,0,0
67876,1,29/06/2016,2,0,0
67876,1,01/07/2016,3,0,0
67876,1,05/07/2016,2,0,0
67876,1,07/07/2016,5,0,0
67876,3,02/07/2016,1,0,0
69191,1,30/06/2016,5,0,0
69191,1,03/07/2016,8,0,0
69191,1,04/07/2016,3,1,0
69191,1,05/07/2016,16,0,0
69191,1,06/07/2016,3,0,0
69191,1,07/07/2016,5,0,0
69191,1,08/07/2016,4,0,0
69191,1,09/07/2016,4,0,0
69191,1,10/07/2016,17,0,0
69191,3,07/07/2016,2,0,0
69191,3,09/07/2016,2,0,0
62076,1,07/07/2016,1,0,0
85613,1,29/06/2016,8,0,0
85613,1,30/06/2016,1,0,0
85613,1,01/07/2016,5,0,0
85613,1,02/07/2016,1,0,0
85613,1,03/07/2016,8,0,0
85613,1,04/07/2016,8,0,0
85613,1,05/07/2016,15,0,0
85613,1,06/07/2016,18,0,0
85613,1,07/07/2016,3,0,0
85613,1,08/07/2016,1,0,0
85613,1,09/07/2016,7,0,0
85613,1,10/07/2016,9,0,0
85613,3,03/07/2016,2,0,0
85613,3,09/07/2016,3,0,0
85613,3,10/07/2016,5,0,0
77676,3,01/07/2016,1,0,0
98801,1,29/06/2016,2,0,0
98801,1,01/07/2016,4,0,0
98801,1,02/07/2016,3,0,0
98801,1,03/07/2016,2,0,0
98801,1,04/07/2016,3,0,0
98801,1,05/07/2016,2,0,0
98801,1,06/07/2016,2,0,0
98801,1,07/07/2016,5,0,0
98801,1,08/07/2016,1,0,0
98801,1,09/07/2016,5,0,0
98801,1,10/07/2016,1,0,0
99799,1,29/06/2016,1,0,0
99799,1,30/06/2016,1,0,0
99799,1,01/07/2016,3,0,0
99799,1,02/07/2016,1,0,0
99799,1,03/07/2016,3,0,0
99799,1,04/07/2016,2,0,0
99799,1,06/07/2016,1,0,0
99799,1,07/07/2016,2,0,0
99799,1,08/07/2016,1,0,0
99799,1,09/07/2016,5,0,0
99799,3,29/06/2016,1,0,0
99799,3,05/07/2016,1,0,0
99799,3,08/07/2016,2,0,0
99799,3,10/07/2016,1,0,0
64058,1,03/07/2016,1,0,0
64058,1,04/07/2016,3,0,0
64058,1,05/07/2016,2,0,0
64058,1,06/07/2016,1,0,0
64058,1,08/07/2016,1,0,0
64058,1,09/07/2016,1,0,0
64058,3,30/06/2016,1,0,0
71015,1,07/07/2016,1,0,0
42882,1,07/07/2016,2,1,0
42882,3,29/06/2016,1,0,0
48991,3,30/06/2016,1,0,0
51349,1,29/06/2016,1,0,0
51349,1,30/06/2016,5,0,0
51349,1,01/07/2016,3,0,0
51349,1,02/07/2016,9,0,0
51349,1,04/07/2016,3,0,0
51349,1,06/07/2016,1,0,0
51349,1,07/07/2016,1,0,0
51349,1,08/07/2016,6,0,0
51349,1,09/07/2016,3,0,0
51349,1,10/07/2016,3,0,0
48296,1,03/07/2016,1,0,0
102656,1,21/06/2016,1,0,0
102656,1,28/06/2016,1,0,0
102656,1,29/06/2016,15,0,0
102656,1,30/06/2016,13,0,0
102656,1,01/07/2016,11,0,0
102656,1,02/07/2016,11,0,0
102656,1,03/07/2016,13,0,0
102656,1,04/07/2016,13,0,0
102656,1,05/07/2016,19,0,0
102656,1,06/07/2016,18,0,0
102656,1,07/07/2016,16,0,0
102656,1,08/07/2016,19,0,0
102656,1,09/07/2016,33,0,0
102656,1,10/07/2016,41,0,0
102656,1,11/07/2016,5,0,0
102656,3,29/06/2016,2,0,0
102656,3,30/06/2016,2,0,0
102656,3,01/07/2016,2,0,0
102656,3,03/07/2016,6,0,0
102656,3,04/07/2016,3,0,0
102656,3,05/07/2016,4,0,0
102656,3,06/07/2016,1,0,0
102656,3,07/07/2016,1,0,0
102656,3,08/07/2016,3,0,0
102656,3,09/07/2016,2,0,0
102656,3,10/07/2016,1,0,0
69589,1,29/06/2016,12,0,0
69589,1,30/06/2016,15,0,0
69589,1,01/07/2016,8,0,0
69589,1,02/07/2016,11,0,0
69589,1,03/07/2016,6,0,0
69589,1,04/07/2016,3,0,0
69589,1,05/07/2016,4,0,0
69589,1,06/07/2016,2,0,0
69589,1,07/07/2016,1,0,0
69589,1,08/07/2016,2,0,0
69589,1,09/07/2016,2,0,0
69589,1,10/07/2016,2,0,0
69589,1,11/07/2016,2,0,0
69589,3,29/06/2016,3,0,0
69589,3,30/06/2016,1,0,0
69589,3,01/07/2016,2,0,0
69589,3,02/07/2016,3,0,0
69589,3,03/07/2016,2,0,0
69589,3,05/07/2016,2,0,0
84289,1,24/06/2016,1,0,0
84289,1,29/06/2016,71,0,0
84289,1,30/06/2016,114,0,0
84289,1,01/07/2016,144,0,0
84289,1,02/07/2016,108,1,0
84289,1,03/07/2016,145,0,0
84289,1,04/07/2016,121,0,0
84289,1,05/07/2016,220,0,0
84289,1,06/07/2016,209,0,0
84289,1,07/07/2016,159,0,0
84289,1,08/07/2016,144,0,0
84289,1,09/07/2016,218,1,0
84289,1,10/07/2016,162,0,0
84289,1,11/07/2016,33,0,0
84289,3,14/06/2016,1,0,0
84289,3,29/06/2016,15,0,0
84289,3,30/06/2016,24,0,0
84289,3,01/07/2016,43,0,0
84289,3,02/07/2016,49,0,0
84289,3,03/07/2016,31,0,0
84289,3,04/07/2016,43,0,0
84289,3,05/07/2016,40,0,0
84289,3,06/07/2016,26,0,0
84289,3,07/07/2016,31,0,0
84289,3,08/07/2016,35,0,0
84289,3,09/07/2016,39,0,0
84289,3,10/07/2016,52,0,0
84289,3,11/07/2016,3,0,0
93879,1,20/06/2016,2,0,0
93879,1,22/06/2016,1,0,0
93879,1,29/06/2016,92,0,0
93879,1,30/06/2016,122,1,0
93879,1,01/07/2016,120,0,0
93879,1,02/07/2016,121,0,0
93879,1,03/07/2016,115,0,0
93879,1,04/07/2016,136,0,0
93879,1,05/07/2016,156,0,0
93879,1,06/07/2016,161,1,0
93879,1,07/07/2016,158,0,0
93879,1,08/07/2016,158,0,0
93879,1,09/07/2016,172,0,0
93879,1,10/07/2016,165,0,0
93879,1,11/07/2016,32,0,0
93879,3,14/06/2016,1,0,0
93879,3,29/06/2016,19,0,0
93879,3,30/06/2016,29,0,0
93879,3,01/07/2016,35,0,0
93879,3,02/07/2016,41,0,0
93879,3,03/07/2016,36,0,0
93879,3,04/07/2016,39,0,0
93879,3,05/07/2016,43,0,0
93879,3,06/07/2016,29,0,0
93879,3,07/07/2016,28,0,0
93879,3,08/07/2016,29,0,0
93879,3,09/07/2016,33,0,0
93879,3,10/07/2016,44,0,0
93879,3,11/07/2016,3,0,0
98861,1,29/06/2016,36,0,0
98861,1,30/06/2016,59,0,0
98861,1,01/07/2016,55,0,0
98861,1,02/07/2016,62,0,0
98861,1,03/07/2016,49,0,0
98861,1,04/07/2016,48,0,0
98861,1,05/07/2016,96,0,0
98861,1,06/07/2016,55,0,0
98861,1,07/07/2016,60,0,0
98861,1,08/07/2016,59,0,0
98861,1,09/07/2016,64,0,0
98861,1,10/07/2016,93,0,0
98861,1,11/07/2016,12,0,0
98861,3,29/06/2016,12,0,0
98861,3,30/06/2016,13,0,0
98861,3,01/07/2016,12,0,0
98861,3,02/07/2016,14,0,0
98861,3,03/07/2016,21,0,0
98861,3,04/07/2016,26,0,0
98861,3,05/07/2016,25,0,0
98861,3,06/07/2016,17,0,0
98861,3,07/07/2016,20,0,0
98861,3,08/07/2016,9,0,0
98861,3,09/07/2016,18,0,0
98861,3,10/07/2016,19,0,0
98861,3,11/07/2016,3,0,0
59676,1,30/06/2016,1,0,0
59676,1,02/07/2016,16,0,0
59676,1,03/07/2016,2,0,0
59676,1,06/07/2016,3,0,0
59676,1,07/07/2016,1,0,0
59676,1,11/07/2016,1,0,0
79559,1,29/06/2016,189,0,0
79559,1,30/06/2016,165,0,0
79559,1,01/07/2016,212,0,0
79559,1,02/07/2016,146,0,0
79559,1,03/07/2016,161,2,0
79559,1,04/07/2016,147,1,0
79559,1,05/07/2016,232,0,0
79559,1,06/07/2016,201,1,0
79559,1,07/07/2016,197,0,0
79559,1,08/07/2016,168,0,0
79559,1,09/07/2016,178,0,0
79559,1,10/07/2016,199,0,0
79559,1,11/07/2016,9,0,0
79559,3,29/06/2016,25,0,0
79559,3,30/06/2016,41,0,0
79559,3,01/07/2016,26,0,0
79559,3,02/07/2016,33,0,0
79559,3,03/07/2016,31,0,0
79559,3,04/07/2016,29,0,0
79559,3,05/07/2016,37,0,0
79559,3,06/07/2016,39,0,0
79559,3,07/07/2016,19,0,0
79559,3,08/07/2016,25,0,0
79559,3,09/07/2016,42,0,0
79559,3,10/07/2016,34,0,0
79559,3,11/07/2016,1,0,0
54835,3,03/07/2016,1,0,0
59162,1,04/07/2016,1,0,0
59162,1,10/07/2016,1,0,0
79972,1,28/06/2016,1,0,0
79972,1,29/06/2016,21,0,0
79972,1,30/06/2016,3,0,0
79972,1,01/07/2016,5,0,0
79972,1,02/07/2016,17,0,0
79972,1,03/07/2016,18,0,0
79972,1,04/07/2016,7,0,0
79972,1,05/07/2016,3,0,0
79972,1,06/07/2016,14,0,0
79972,1,07/07/2016,3,0,0
79972,1,08/07/2016,36,0,0
79972,1,09/07/2016,21,1,0
79972,1,10/07/2016,6,0,0
79972,1,11/07/2016,6,0,0
79972,3,01/07/2016,4,0,0
79972,3,02/07/2016,3,0,0
79972,3,04/07/2016,1,0,0
79972,3,06/07/2016,2,0,0
79972,3,08/07/2016,1,0,0
79972,3,10/07/2016,3,0,0
82377,1,10/07/2016,1,0,0
69858,1,01/07/2016,2,0,0
69858,1,04/07/2016,1,0,0
69858,1,05/07/2016,1,0,0
69858,1,08/07/2016,1,0,0
96482,1,02/07/2016,1,0,0
103583,1,29/06/2016,2,0,0
103583,1,30/06/2016,1,0,0
103583,1,01/07/2016,1,0,0
103583,1,02/07/2016,3,0,0
103583,1,03/07/2016,2,0,0
103583,1,04/07/2016,5,0,0
103583,1,05/07/2016,3,0,0
103583,1,08/07/2016,1,0,0
103583,1,09/07/2016,4,1,0
103583,1,10/07/2016,2,0,0
103583,3,02/07/2016,1,0,0
103583,3,08/07/2016,1,0,0
97978,1,29/06/2016,1,0,0
97978,1,30/06/2016,2,0,0
