time_offset,speed,roadvel,bodyacc,yaw_rate
10.188,0,0,0.04,0.002
10.197,0,0,0.04,0.001
10.207,0,0,-0.06,0.002
10.216,0,0,-0.06,0.002
10.226,0,0,-0.06,0.002
10.235,0,0,0,0
10.244,0,0,-0.06,0
10.254,0,0,-0.06,0
10.263,0,0,0.0199,0.002
10.273,0,0,0.0199,0.002
10.284,0,0,0.06,0.001
10.293,0,0,-0.08,0
10.302,0,0,-0.0999,0
10.312,0,0,0.04,0.001
10.322,0,0,0,0.001
10.332,0,0,0,0.001
10.341,0,0,-0.0399,0.001
10.351,0,0,0.04,0.001
10.36,0,0,0.06,0.001
10.369,0,0,-0.0199,0.002
10.379,0,0,-0.0199,0.002
10.389,0,0,-0.08,0.002
10.398,0,0,-0.0399,0.001
10.407,0,0,0.0199,0.001
10.417,0,0,0.0199,0.001
10.426,0,0,0.0199,0.001
10.436,0,0,-0.0399,0
10.445,0,0,0,0
10.454,0,0,0.04,0
10.464,0,0,0.0199,0
10.475,0,0,-0.06,0.002
10.485,0,0,-0.06,0.002
10.495,0,0,0.04,0.002
10.504,0,0,0.0199,0.002
10.513,0,0,-0.06,0.002
10.523,0,0,-0.08,0.002
10.532,0,0,-0.08,0.002
10.541,0,0,0.04,0.001
10.551,0,0,0.04,0.002
10.56,0,0,-0.0999,0.002
10.569,0,0,0,0
10.579,0,0,0,0
10.588,0,0,0.08,0
10.597,0,0,0.04,0
10.607,0,0,-0.0999,0.002
10.617,0,0,-0.0999,0.002
10.626,0,0,-0.0999,0.002
10.635,0,0,0,0.001
10.645,0,0,-0.0399,0.001
10.654,0,0,-0.06,0.001
10.664,0,0,0.0199,0.001
10.673,0,0,0.0199,0.001
10.683,0,0,0.04,0.001
10.692,0,0,-0.06,0
10.702,0,0,-0.0199,0
10.711,0,0,0.0199,0.002
10.721,0,0,0.0199,0.002
10.73,0,0,0.0199,0.002
10.739,0,0,-0.0399,0.001
10.749,0,0,0.0199,0.001
10.758,0,0,0.0199,0.001
10.767,0,0,0.0199,0.001
10.776,0,0,-0.0199,0.002
10.786,0,0,-0.0399,0.002
10.795,0,0,-0.0199,0.001
10.805,0,0,-0.0199,0.001
10.814,0,0,0.04,0.003
10.824,0,0,0.04,0.003
10.833,0,0,-0.0199,0.002
10.842,0,0,0.0199,0.002
10.852,0,0,0.0199,0.002
10.861,0,0,0.0199,0.001
10.87,0,0,-0.0399,0.001
10.879,0,0,-0.0399,0.002
10.888,0,0,0,0.002
10.898,0,0,0,0.002
10.907,0,0,-0.0399,0.002
10.916,0,0,-0.06,0.001
10.926,0,0,0,0.001
10.935,0,0,0.04,0
10.944,0,0,0.04,0
